genome1,genome2,pair_id,S16_Vsearch_status,FastANI_status,Mash_status,FastAAI_Jaccard_status
GCA_000003925.1,GCA_000513155.1,GCA_000003925.1__GCA_000513155.1,PASS,PASS,PASS,PASS
GCA_000003925.1,GCA_000775975.1,GCA_000003925.1__GCA_000775975.1,PASS,PASS,PASS,PASS
GCA_000003925.1,GCA_000832605.1,GCA_000003925.1__GCA_000832605.1,PASS,PASS,PASS,PASS
GCA_000003925.1,GCA_022630575.1,GCA_000003925.1__GCA_022630575.1,PASS,PASS,PASS,PASS
GCA_000003925.1,GCA_029024805.1,GCA_000003925.1__GCA_029024805.1,PASS,PASS,PASS,PASS
GCA_000003925.1,GCA_031316615.1,GCA_000003925.1__GCA_031316615.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000003925.1,GCA_044949865.1,GCA_000003925.1__GCA_044949865.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000003925.1,GCA_918180265.1,GCA_000003925.1__GCA_918180265.1,PASS,PASS,PASS,PASS
GCA_000006685.1,GCA_000174975.1,GCA_000006685.1__GCA_000174975.1,FAIL_INITIAL,PASS,PASS,PASS
GCA_000006685.1,GCA_002997815.1,GCA_000006685.1__GCA_002997815.1,PASS,PASS,PASS,PASS
GCA_000006685.1,GCA_002997915.1,GCA_000006685.1__GCA_002997915.1,PASS,PASS,PASS,PASS
GCA_000006685.1,GCA_014930955.1,GCA_000006685.1__GCA_014930955.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_000007545.1,GCA_000006945.2__GCA_000007545.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_000614485.1,GCA_000006945.2__GCA_000614485.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_000743055.1,GCA_000006945.2__GCA_000743055.1,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_001558355.2,GCA_000006945.2__GCA_001558355.2,PASS,PASS,PASS,PASS
GCA_000006945.2,GCA_002289225.1,GCA_000006945.2__GCA_002289225.1,PASS,PASS,PASS,PASS
